epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.345,0.82065,1.30907,1.33855,0.72159,0.74534,0.781,0.62726,0.74397,0.88119,1.2323,0.00332604,0.00332604,0.00332604
2,531.132,0.74683,0.83953,1.26559,0.74364,0.74542,0.7712,0.60974,0.82184,0.97616,1.31581,0.00657696,0.00657696,0.00657696
3,803.418,0.82255,0.91929,1.3179,0.59904,0.61737,0.62346,0.43534,1.1975,1.3505,1.6923,0.00974539,0.00974539,0.00974539
4,1075.17,0.87865,0.99466,1.36019,0.64468,0.59754,0.65254,0.47227,1.07749,1.3363,1.58495,0.00962875,0.00962875,0.00962875
5,1346.9,0.84312,0.92697,1.32999,0.76045,0.73079,0.7814,0.57931,0.93188,1.03146,1.39679,0.009505,0.009505,0.009505
6,1617.75,0.80299,0.87225,1.30382,0.79974,0.77073,0.80665,0.59714,0.89497,0.89549,1.35539,0.00938125,0.00938125,0.00938125
7,1888.9,0.77815,0.82849,1.27805,0.75569,0.77372,0.80776,0.62706,0.83178,0.86788,1.2944,0.0092575,0.0092575,0.0092575
8,2160.22,0.75385,0.79105,1.26003,0.81903,0.78397,0.82795,0.64447,0.82025,0.77514,1.31207,0.00913375,0.00913375,0.00913375
9,2432.12,0.73289,0.76115,1.24612,0.77336,0.822,0.82804,0.65278,0.77658,0.76257,1.27275,0.00901,0.00901,0.00901
10,2703.36,0.71486,0.72955,1.23056,0.80564,0.78642,0.82596,0.64661,0.80087,0.76898,1.27534,0.00888625,0.00888625,0.00888625
11,2975.12,0.70635,0.72113,1.22707,0.80979,0.81523,0.83563,0.65806,0.76127,0.77529,1.2459,0.0087625,0.0087625,0.0087625
12,3246.82,0.6927,0.70818,1.21346,0.84636,0.79711,0.8618,0.68827,0.75434,0.6928,1.23322,0.00863875,0.00863875,0.00863875
13,3518.51,0.67968,0.6838,1.20433,0.84634,0.8225,0.86736,0.67884,0.74177,0.70523,1.21413,0.008515,0.008515,0.008515
14,3789.36,0.6764,0.66751,1.20053,0.8314,0.82452,0.85342,0.6796,0.73046,0.6796,1.21056,0.00839125,0.00839125,0.00839125
15,4060.55,0.66438,0.66565,1.19006,0.82998,0.84312,0.86339,0.68733,0.72186,0.65077,1.19996,0.0082675,0.0082675,0.0082675
16,4331.88,0.66138,0.65411,1.19129,0.86047,0.82386,0.89289,0.72612,0.68649,0.63423,1.16647,0.00814375,0.00814375,0.00814375
17,4604.05,0.65241,0.643,1.18767,0.84577,0.82914,0.88435,0.72112,0.69661,0.64866,1.18314,0.00802,0.00802,0.00802
18,4875.98,0.64174,0.62292,1.17349,0.83914,0.84585,0.89194,0.71534,0.69005,0.61628,1.16758,0.00789625,0.00789625,0.00789625
19,5147.76,0.6376,0.62065,1.17314,0.85788,0.84569,0.88724,0.71178,0.69726,0.6028,1.19217,0.0077725,0.0077725,0.0077725
20,5419.39,0.63251,0.61472,1.16847,0.85396,0.85458,0.89407,0.72786,0.67094,0.60103,1.17333,0.00764875,0.00764875,0.00764875
21,5691.52,0.62976,0.60099,1.16503,0.85746,0.85176,0.89799,0.74152,0.66198,0.58962,1.14353,0.007525,0.007525,0.007525
22,5964.29,0.62359,0.59213,1.16093,0.89193,0.83984,0.91305,0.73522,0.6738,0.56419,1.17627,0.00740125,0.00740125,0.00740125
23,6235.71,0.61771,0.58539,1.1563,0.84528,0.8644,0.8924,0.74426,0.64442,0.57455,1.13939,0.0072775,0.0072775,0.0072775
24,6507.8,0.61176,0.57523,1.15232,0.86865,0.85154,0.90729,0.73653,0.64561,0.56036,1.14166,0.00715375,0.00715375,0.00715375
25,6780.21,0.60239,0.56736,1.14845,0.87287,0.85708,0.91109,0.74619,0.64871,0.57307,1.12609,0.00703,0.00703,0.00703
